                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.2858,                 1.2542,                 1.4665,                0.78544,                0.67218,                0.75656,                0.41083,                 1.5271,                 1.2788,                 1.6756,             0.00039605,             0.00039605,             0.00039605
                     60,                 1.2917,                 1.2546,                 1.4532,                0.71054,                0.69658,                0.74246,                0.41425,                 1.5722,                 1.2809,                 1.7215,             0.00038705,             0.00038705,             0.00038705
                     61,                 1.2966,                 1.2809,                 1.4668,                0.74455,                0.69046,                0.75322,                0.40895,                 1.5762,                 1.2631,                 1.6783,             0.00037805,             0.00037805,             0.00037805
                     62,                 1.3142,                 1.2781,                 1.4602,                0.71828,                0.70131,                 0.7583,                0.41731,                 1.5521,                 1.2463,                  1.662,             0.00036905,             0.00036905,             0.00036905
                     63,                 1.2857,                 1.2625,                 1.4541,                0.72014,                0.65352,                 0.7211,                0.39464,                 1.5873,                 1.3357,                 1.6734,             0.00036005,             0.00036005,             0.00036005
                     64,                 1.3095,                 1.2804,                 1.4522,                0.65832,                 0.7213,                 0.7649,                0.42922,                 1.5047,                 1.2605,                 1.6374,             0.00035106,             0.00035106,             0.00035106
                     65,                 1.2891,                 1.2579,                 1.4438,                0.68573,                0.72105,                0.76573,                0.40276,                 1.5616,                 1.2602,                 1.6743,             0.00034206,             0.00034206,             0.00034206
                     66,                  1.301,                 1.2443,                 1.4587,                 0.6822,                0.74687,                0.76247,                0.41325,                 1.5878,                 1.2507,                 1.6787,             0.00033306,             0.00033306,             0.00033306
                     67,                 1.2857,                 1.2368,                 1.4552,                0.70029,                0.73187,                0.76322,                0.41167,                 1.5653,                 1.2452,                 1.6719,             0.00032406,             0.00032406,             0.00032406
                     68,                 1.2817,                 1.2308,                 1.4497,                0.65954,                 0.7156,                0.75538,                0.41378,                 1.5269,                 1.2659,                 1.6707,             0.00031506,             0.00031506,             0.00031506
                     69,                 1.2776,                  1.244,                 1.4519,                0.72379,                0.68686,                0.75356,                0.42809,                 1.5188,                 1.2569,                 1.6377,             0.00030606,             0.00030606,             0.00030606
                     70,                 1.2477,                 1.2034,                 1.4345,                0.67967,                0.72983,                0.75074,                0.41136,                 1.5441,                 1.2676,                 1.6374,             0.00029706,             0.00029706,             0.00029706
                     71,                 1.2491,                 1.1897,                 1.4155,                0.70744,                0.71045,                0.75438,                0.41207,                 1.5422,                   1.27,                 1.6553,             0.00028806,             0.00028806,             0.00028806
                     72,                 1.2547,                 1.2207,                 1.4376,                0.74684,                0.72999,                0.79111,                0.43879,                 1.4972,                 1.2285,                 1.6263,             0.00027906,             0.00027906,             0.00027906
                     73,                 1.2429,                 1.2046,                 1.4195,                0.74188,                0.67059,                0.76062,                0.41617,                 1.5447,                 1.2673,                 1.6619,             0.00027006,             0.00027006,             0.00027006
                     74,                 1.2432,                 1.1596,                 1.4203,                0.74381,                 0.6938,                0.76689,                0.42534,                 1.5082,                 1.2439,                 1.6506,             0.00026106,             0.00026106,             0.00026106
                     75,                 1.2451,                 1.1955,                 1.4308,                0.70247,                0.70954,                0.77138,                 0.4251,                 1.5262,                 1.2147,                 1.6479,             0.00025207,             0.00025207,             0.00025207
                     76,                 1.2555,                 1.1894,                 1.4382,                0.73413,                0.70446,                0.77012,                0.43368,                 1.5183,                 1.2151,                 1.6438,             0.00024307,             0.00024307,             0.00024307
                     77,                 1.2431,                 1.1806,                 1.4217,                0.74284,                0.70604,                0.75967,                0.41292,                 1.5811,                 1.2223,                 1.6859,             0.00023407,             0.00023407,             0.00023407
                     78,                 1.2187,                 1.1628,                  1.414,                0.78571,                0.71251,                0.78881,                0.43958,                 1.5273,                 1.1932,                 1.6481,             0.00022507,             0.00022507,             0.00022507
